start;null;200
property;60,2,10,30,90,160;250
chest;null;0
property;60,4,20,60,180,320;450
tax;null;200
train;200,25,50,100;200
property;100,6,30,90,270,400;550
chance;null;0
property;100,6,30,90,270,400;550
property;120,8,40,100,300,450;600
prison;null;0
property;140,10,50,150,450,625;750
services;10,4;150
property;140,10,50,150,450,625;750
property;160,12,60,180,500,700;900
train;200,25,50,100;200
property;180,14,70,200,550,750;950
chest;null;0
property;180,14,70,200,550,750;950
property;200,16,80,220,600,800;1000
parking;null;0
property;220,18,90,250,700,875;1050
chance;null;0
property;220,18,90,250,700,875;1050
property;240,20,100,300,750,925;1100
train;200,25,50,100;200
property;260,22,110,330,800,975;1150
property;260,22,110,330,800,975;1150
services;4,10;150
property;280,24,120,360,850,1025;1200
arrest;null;0
property;300,26,130,390,900,1100;1275
property;300,26,130,390,900,1100;1275
chest;null;0
property;320,28,150,450,1000,1200;1400
train;200,25,50,100;200
chance;null;0
property;350,35,175,500,1100,1300;1500
tax;null;100
property;400,50,200,600,1400,1700;2000
